,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio,Reduced Lunch,Free Lunch,Percent Lunch
175,Heide Trask High,1,0,0,1,34.437792,-77.89253,685,14.42,61.0,369.0,0.627737226277
176,Henderson County Early College,1,0,0,1,35.307269,-82.422577,202,33.67,27.0,82.0,0.539603960396
177,Hendersonville High,1,0,0,1,35.321409,-82.464217,770,16.77,39.0,247.0,0.371428571429
178,Heritage High,1,0,0,0,35.94014,-78.511001,1910,17.77,57.0,202.0,0.135602094241
179,Hertford Co Early College,1,0,0,1,36.32384,-77.019391,127,18.14,0.0,124.0,0.976377952756
180,Hertford County High,1,0,0,1,36.296584,-76.998176,703,15.56,0.0,700.0,0.99573257468
181,Hibriten High,1,0,0,1,35.92551,-81.493751,824,13.19,61.0,369.0,0.521844660194
182,Hickory High,1,0,0,1,35.749647,-81.331794,1018,15.39,50.0,430.0,0.471512770138
183,Hickory Ridge High,1,0,0,0,35.307787,-80.634948,1573,20.37,56.0,254.0,0.197075651621
184,High Point Central High,1,1,0,1,35.95795,-80.02312,1454,16.9,54.0,826.0,0.60522696011
185,Highland Sch of Technology,1,1,0,0,35.280405,-81.190733,555,13.79,36.0,131.0,0.300900900901
187,Hillside High,1,0,0,1,35.953277,-78.903598,1318,14.4,86.0,729.0,0.618361153263
188,Hillside New Tech High,1,0,0,1,35.953277,-78.903598,273,15.17,28.0,124.0,0.556776556777
189,Hiwassee Dam High,1,0,0,1,35.103859,-84.22365,203,12.76,29.0,86.0,0.566502463054
190,Hobbton High,1,0,0,1,35.17781,-78.32837,557,15.8,57.0,311.0,0.660682226212
191,Hoke County High,1,0,0,1,34.972957,-79.234343,1972,15.73,125.0,1035.0,0.588235294118
192,Holly Springs High,1,0,0,0,35.6289,-78.848821,2418,19.67,85.0,316.0,0.165839536807
193,Hopewell High,1,0,0,1,35.378392,-80.911004,1653,18.85,117.0,634.0,0.454325468845
195,Hugh M Cummings High,1,0,0,1,36.088669,-79.396442,932,17.73,60.0,705.0,0.820815450644
196,Hunter Huss High,1,0,0,1,35.240637,-81.206875,1148,17.03,102.0,778.0,0.766550522648
197,Independence High,1,0,0,1,35.197168,-80.687432,2349,18.24,14.0,188.0,0.085994040017
198,Invest Collegiate - Imagine,1,0,1,0,35.525,-82.606561,342,15.57,22.0,25.0,0.137426900585
200,J D Clement Early College HS,1,0,0,1,35.97467,-78.898051,352,24.28,35.0,166.0,0.571022727273
201,J F Kennedy High,4,1,0,1,36.10675,-80.234701,344,7.55,26.0,272.0,0.866279069767
202,J. F. Webb High,1,0,0,1,36.3436,-78.604437,615,15.14,42.0,341.0,0.622764227642
203,Jack Britt High,1,0,0,0,34.977498,-79.011098,1941,17.56,139.0,414.0,0.284904688305
204,Jackson Co Early College,1,0,0,1,35.347264,-83.20444,145,35.37,20.0,41.0,0.420689655172
205,Jacksonville High,1,0,0,1,34.783917,-77.427045,1218,17.53,61.0,393.0,0.372742200328
206,James B Dudley High,1,0,0,1,36.060828,-79.763503,1418,15.52,0.0,1396.0,0.984485190409
207,James Hunt High,1,0,0,0,35.722528,-77.998967,1375,17.73,85.0,541.0,0.455272727273
208,James Kenan High,1,0,0,1,34.984522,-78.043144,728,17.4,45.0,461.0,0.695054945055
209,Jay M Robinson High,1,0,0,1,35.362979,-80.661366,1339,15.54,73.0,505.0,0.431665421957
210,JF Webb HS Of Health And Life Sciences,1,0,0,0,36.33791,-78.597163,304,27.64,11.0,66.0,0.253289473684
211,Jimmy C Draughn High School,1,0,0,1,35.76707,-81.544041,722,16.77,97.0,218.0,0.436288088643
212,John A Holmes High,1,0,0,1,36.066548,-76.604733,659,14.5,47.0,340.0,0.587253414264
213,John M Morehead High,1,0,0,1,36.504629,-79.735354,940,18.02,0.0,937.0,0.996808510638
214,John T Hoggard High,1,0,0,0,34.199614,-77.892867,1786,18.9,85.0,422.0,0.283874580067
215,Johnston Co Early College Academy,1,0,0,0,35.504134,-78.330645,244,26.38,7.0,104.0,0.454918032787
216,Jones Senior High,1,0,0,1,35.05422,-77.48236,333,12.11,0.0,325.0,0.975975975976
217,Jordan Matthews High,1,0,0,1,35.7239,-79.45243,765,13.78,50.0,473.0,0.683660130719
218,Junius H Rose High,1,0,0,1,35.593934,-77.384236,1440,15.96,51.0,686.0,0.511805555556
220,Kestrel Heights School,1,0,1,0,35.89831,-78.890451,1015,15.53,10.0,56.0,0.0650246305419
221,Kings Mountain High,1,0,0,1,35.234417,-81.369876,1272,14.65,80.0,534.0,0.482704402516
222,Kinston High,1,0,0,1,35.295853,-77.575265,854,15.53,0.0,842.0,0.985948477752
223,Knightdale High,1,0,0,1,35.81085,-78.476188,1672,16.73,181.0,754.0,0.559210526316
224,Lake Lure Classical Academy,1,0,1,1,35.43069,-82.222451,372,12.4,29.0,34.0,0.16935483871
225,Lake Norman Charter,1,0,1,0,35.388475,-80.834755,1600,17.51,23.0,27.0,0.03125
226,Lake Norman High,1,0,0,0,35.59827,-80.903811,1865,21.07,43.0,140.0,0.0981233243968
227,Lakewood High,1,0,0,1,34.990911,-78.501924,516,13.79,463.0,1291.0,3.3992248062
228,Ledford Senior High,1,0,0,0,35.962253,-80.134033,1255,18.83,65.0,339.0,0.321912350598
229,Lee County High,1,0,0,1,35.467494,-79.148203,1493,15.92,81.0,689.0,0.515740120563
230,Lee Early College,1,0,0,1,35.471218,-79.1439,288,24.0,18.0,130.0,0.513888888889
231,Leesville Road High,1,0,0,0,35.890123,-78.717862,2281,18.68,83.0,392.0,0.208241999123
232,Lenoir County Early College High,1,0,0,0,35.221912,-77.576093,200,20.51,0.0,197.0,0.985
233,Lexington Senior High,1,0,0,1,35.832158,-80.248463,781,14.74,33.0,530.0,0.720870678617
234,Lincoln Charter School,1,0,1,0,35.48588,-80.998131,1790,16.77,129.0,186.0,0.175977653631
235,Lincolnton High,1,0,0,1,35.47947,-81.260091,887,15.44,89.0,474.0,0.63472378805
236,Longleaf School of the Arts,1,0,1,0,35.77855,-78.635371,221,12.14,5.0,3.0,0.0361990950226
237,Louisburg High,1,0,0,1,36.11111,-78.29934,553,12.97,28.0,85.0,0.204339963834
238,Lucy Ragsdale High,1,0,0,1,35.994623,-79.916637,1441,16.85,70.0,593.0,0.460097154754
239,Lumberton Senior High,1,0,0,1,34.646905,-78.998779,2108,15.36,0.0,2072.0,0.982922201139
240,Madison Early College High,1,0,0,1,35.83564,-82.552361,213,25.06,11.0,67.0,0.366197183099
242,Maiden High,1,0,0,1,35.58072,-81.226541,877,16.26,64.0,324.0,0.442417331813
243,Mallard Creek High,1,0,0,1,35.36372,-80.769041,2472,20.05,195.0,914.0,0.448624595469
244,Manteo High School,1,0,0,1,35.91673,-75.673531,466,12.21,49.0,153.0,0.43347639485
245,Marvin Ridge High,1,0,0,0,34.973992,-80.795871,1573,19.96,3.0,33.0,0.0228862047044
246,Massey Hill Classical High,1,0,0,0,35.031037,-78.895077,341,15.99,27.0,66.0,0.272727272727
247,Mattamuskeet Early College High,1,0,0,1,35.441381,-76.218225,231,10.59,0.0,227.0,0.982683982684
248,Mayland Early College,1,0,0,1,35.932982,-82.01632,102,17.5,13.0,57.0,0.686274509804
249,McDowell Early College,1,0,0,1,35.656553,-81.960773,212,19.27,18.0,56.0,0.349056603774
250,McDowell High,1,0,0,1,35.695914,-82.03497,1680,16.08,126.0,745.0,0.518452380952
251,Military and Global Leadership Academy,1,1,0,1,35.202326,-80.876847,642,12.75,0.0,639.0,0.995327102804
252,Middle College at GTCC-GSO,1,0,0,1,36.087797,-79.731589,137,15.01,8.0,61.0,0.503649635036
253,Middle College GTCC High Point,1,0,0,1,35.946413,-80.002784,127,12.54,12.0,59.0,0.55905511811
255,Middle College High at Bennett,1,0,0,1,36.06635,-79.780411,115,11.15,0.0,112.0,0.973913043478
256,Middle Creek High,1,0,0,0,35.667342,-78.760262,2249,18.74,85.0,555.0,0.284570920409
257,Midway High,1,0,0,1,35.175373,-78.478913,715,15.56,9.0,68.0,0.107692307692
258,Millbrook High,1,1,0,0,35.8658,-78.603069,2571,17.73,112.0,681.0,0.308440295605
