,StateNamePublicSchoolLatestavailableyear,SchoolNamePublicSchool201415,LocationAddress1PublicSchool201415,LocationCityPublicSchool201415,LocationZIPPublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,TitleISchoolStatusPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,LowestGradeOfferedPublicSchool201415,HighestGradeOfferedPublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,Grades912StudentsPublicSchool201415,StudentTeacherRatio,Biology,District,English,Math
64,North Carolina,Chatham Charter,2200 HAMP STONE ROAD,SILER CITY,27344,1,0,1,0,6-Not eligible for either TAS or SWP,35.742493,-79.479562,Kindergarten,11th Grade,0,1,1,1,497,134,14.97,80.0,North Central,83.3,70.0
65,North Carolina,Cherryville High,313 RIDGE AVENUE,CHERRYVILLE,28021,1,0,0,1,1-Eligible for Title I TAS provides no program,35.389682,-81.379896,9th Grade,12th Grade,1,1,1,1,554,554,14.37,65.1,Southwest,60.2,44.1
66,North Carolina,City of Medicine Academy,301 CRUTCHFIELD ROAD,DURHAM,27704,1,0,0,1,4-Eligible for Title I SWP provides no program,36.038838,-78.902553,9th Grade,12th Grade,1,1,1,1,321,321,13.66,71.5,North Central,78.1,70.5
67,North Carolina,Clayton High,600 S FAYETTEVILLE ST,CLAYTON,27520,1,0,0,0,6-Not eligible for either TAS or SWP,35.650024,-78.466420,9th Grade,12th Grade,1,1,1,1,1512,1512,17.69,50.8,North Central,63.9,58.2
68,North Carolina,Cleveland ECHS,1800 E. MARION STREET,SHELBY,28152,1,0,0,1,4-Eligible for Title I SWP provides no program,35.277570,-81.490361,9th Grade,13th Grade,1,1,1,1,223,205,32.94,81.6,Southwest,88.9,74.1
69,North Carolina,Cleveland High,1892 POLENTA RD,CLAYTON,27520,1,0,0,0,6-Not eligible for either TAS or SWP,35.551507,-78.500107,9th Grade,12th Grade,1,1,1,1,1468,1468,18.26,69.6,North Central,70.9,74.6
70,North Carolina,Clinton High,340 INDIAN TOWN ROAD,CLINTON,28328,1,0,0,1,4-Eligible for Title I SWP provides no program,34.973848,-78.329093,9th Grade,12th Grade,1,1,1,1,848,848,15.99,48.0,Sandhills,56.0,43.4
71,North Carolina,Clover Garden,2454 ALTAMHAW UNION RIDGE ROAD,BURLINGTON,27217,1,0,1,1,2-Eligible for Title I TAS provides TAS program,36.187017,-79.471089,Kindergarten,12th Grade,1,1,1,1,607,148,17.97,70.0,Piedmont-Triad,64.1,71.4
72,North Carolina,Cochrane Collegiate Academy,6200 STARHAVEN DR,CHARLOTTE,28215,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.246492,-80.750138,6th Grade,12th Grade,1,1,1,1,702,172,14.51,39.4,Southwest,54.5,70.7
73,North Carolina,Collaborative College for Technology,500 WEST BROAD STREET,STATESVILLE,28677,1,0,0,1,1-Eligible for Title I TAS provides no program,35.783453,-80.893121,9th Grade,13th Grade,1,1,1,1,240,201,25.32,92.8,Southwest,95.0,84.9
74,North Carolina,Columbia High,902 MAIN ST,COLUMBIA,27925,1,0,0,1,4-Eligible for Title I SWP provides no program,35.919076,-76.245535,9th Grade,13th Grade,1,1,1,1,167,158,9.86,66.7,Northeast,67.4,35.0
75,North Carolina,Community School of Davidson,404 ARMOUR STREET,DAVIDSON,28036,1,0,1,0,6-Not eligible for either TAS or SWP,35.508080,-80.849741,Kindergarten,12th Grade,1,1,1,1,1327,472,14.61,90.1,Southwest,91.4,74.0
76,North Carolina,Concord High,481 BURRAGE ROAD NE,CONCORD,28025,1,0,0,1,4-Eligible for Title I SWP provides no program,35.433650,-80.582182,9th Grade,12th Grade,1,1,1,1,1252,1252,15.82,48.3,Southwest,52.5,40.4
77,North Carolina,Corinth Holders High,6875 APPLEWHITE RD,WENDELL,27591,1,0,0,0,6-Not eligible for either TAS or SWP,35.724760,-78.337811,9th Grade,12th Grade,1,1,1,1,1679,1679,18.40,66.1,North Central,75.7,66.0
78,North Carolina,Cox Mill High School,1355 COX MILL RD,CONCORD,28027,1,0,0,0,6-Not eligible for either TAS or SWP,35.395070,-80.728611,9th Grade,12th Grade,1,1,1,1,1478,1478,19.23,70.3,Southwest,76.0,66.3
