,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio
232,Lenoir County Early College High,1,0,0,0,35.221912,-77.576093,1,1,1,1,200,20.51
233,Lexington Senior High,1,0,0,1,35.832158,-80.248463,1,1,1,1,781,14.74
234,Lincoln Charter School,1,0,1,0,35.485880,-80.998131,1,1,1,1,1790,16.77
235,Lincolnton High,1,0,0,1,35.479470,-81.260091,1,1,1,1,887,15.44
236,Longleaf School of the Arts,1,0,1,0,35.778550,-78.635371,0,1,1,1,221,12.14
237,Louisburg High,1,0,0,1,36.111110,-78.299340,1,1,1,1,553,12.97
238,Lucy Ragsdale High,1,0,0,1,35.994623,-79.916637,1,1,1,1,1441,16.85
239,Lumberton Senior High,1,0,0,1,34.646905,-78.998779,1,1,1,1,2108,15.36
240,Madison Early College High,1,0,0,1,35.835640,-82.552361,1,1,1,1,213,25.06
241,Madison High,1,0,0,1,35.815182,-82.673437,1,1,1,1,645,11.68
242,Maiden High,1,0,0,1,35.580720,-81.226541,1,1,1,1,877,16.26
243,Mallard Creek High,1,0,0,1,35.363720,-80.769041,1,1,1,1,2472,20.05
244,Manteo High School,1,0,0,1,35.916730,-75.673531,1,1,1,1,466,12.21
245,Marvin Ridge High,1,0,0,0,34.973992,-80.795871,1,1,1,1,1573,19.96
246,Massey Hill Classical High,1,0,0,0,35.031037,-78.895077,1,1,1,1,341,15.99
247,Mattamuskeet Early College High,1,0,0,1,35.441381,-76.218225,1,1,1,1,231,10.59
248,Mayland Early College,1,0,0,1,35.932982,-82.016320,1,1,1,1,102,17.50
249,McDowell Early College,1,0,0,1,35.656553,-81.960773,1,1,1,1,212,19.27
