,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
78,North Carolina,CS Brown High,102 CSB DR,WINTON,27986,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.387550,-76.933100,9th Grade,12th Grade,1,1,1,1,43,43,94.1,63.2,39.1
79,North Carolina,Cumberland International Early CollegeHS,1200 MURCHISON RD,FAYETTEVILLE,28303,1,0,0,1,4-Eligible for Title I SWP provides no program,35.071595,-78.894515,9th Grade,12th Grade,1,1,1,1,234,234,82.8,92.2,87.0
80,North Carolina,Currituck County High,4203 CARATOKE HWY,BARCO,27917,1,0,0,0,6-Not eligible for either TAS or SWP,36.372527,-75.969111,9th Grade,12th Grade,1,1,1,1,972,972,44.7,46.2,47.1
81,North Carolina,Cuthbertson High,1400 CUTHBERTSON RD,WAXHAW,28173,1,0,0,0,6-Not eligible for either TAS or SWP,34.975950,-80.740031,9th Grade,12th Grade,1,1,1,1,1449,1449,81.2,88.5,88.8
82,North Carolina,D H Conley High,2006 WORTHINGTON RD,GREENVILLE,27858,1,0,0,0,6-Not eligible for either TAS or SWP,35.530585,-77.324777,9th Grade,12th Grade,1,1,1,1,1644,1644,59.0,60.0,60.9
83,North Carolina,Discovery High School,301 WEST 18TH ST,NEWTON,28658,1,0,0,1,4-Eligible for Title I SWP provides no program,35.679590,-81.222361,9th Grade,12th Grade,1,1,1,1,224,176,71.4,89.1,80.0
84,North Carolina,Dixon High,160 DIXON SCHOOL RD,HOLLY RIDGE,28445,1,0,0,0,6-Not eligible for either TAS or SWP,34.587976,-77.478352,9th Grade,12th Grade,1,1,1,1,835,835,63.8,49.5,49.6
85,North Carolina,Douglas Byrd High,1624 IRELAND DRIVE,FAYETTEVILLE,28304,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.030827,-78.948512,9th Grade,12th Grade,1,1,1,1,1189,1189,31.8,42.7,26.7
86,North Carolina,Duplin Early College High,212 JAMES SPRUNT DR,KENANSVILLE,28349,1,0,0,1,4-Eligible for Title I SWP provides no program,34.946531,-77.978821,9th Grade,13th Grade,1,1,1,1,180,154,54.1,55.6,75.0
87,North Carolina,Durham School of the Arts,401 NORTH DUKE STREET,DURHAM,27701,1,1,0,1,1-Eligible for Title I TAS provides no program,36.003058,-78.906780,6th Grade,12th Grade,1,1,1,1,1650,1008,76.1,84.6,71.2
88,North Carolina,Dynamic Community Charter,5510 MUNFORD ROAD,RALEIGH,27612,2,0,1,0,6-Not eligible for either TAS or SWP,35.856740,-78.699741,6th Grade,10th Grade,0,0,1,1,67,26,5.0,43.8,20.0
89,North Carolina,E E Smith High,1800 SEABROOK ROAD,FAYETTEVILLE,28301,1,0,0,1,4-Eligible for Title I SWP provides no program,35.084083,-78.895641,9th Grade,12th Grade,1,1,1,1,1064,1064,56.3,45.6,38.0
90,North Carolina,Early College EAST High,104 MIDDLE SCHOOL LANE,HAVELOCK,28532,1,0,0,0,6-Not eligible for either TAS or SWP,34.878517,-76.898878,9th Grade,13th Grade,1,1,1,1,220,189,59.5,84.2,66.7
91,North Carolina,East Bladen High,5600 NC HWY 87 EAST,ELIZABETHTOWN,28337,1,0,0,1,4-Eligible for Title I SWP provides no program,34.581079,-78.530675,9th Grade,12th Grade,1,1,1,1,646,646,33.2,37.2,25.3
92,North Carolina,East Burke High,3695 EAST BURKE BOULEVARD,CONNELLY SPRINGS,28612,1,0,0,1,4-Eligible for Title I SWP provides no program,35.721566,-81.482113,9th Grade,12th Grade,1,1,1,1,991,991,48.5,51.7,59.8
93,North Carolina,East Carteret High,3263 HWY 70 E,BEAUFORT,28516,1,0,0,1,4-Eligible for Title I SWP provides no program,34.781690,-76.631261,6th Grade,12th Grade,1,1,1,1,596,596,69.2,64.6,59.2
94,North Carolina,East Chapel Hill High,500 WEAVER DAIRY RD,CHAPEL HILL,27514,1,0,0,0,6-Not eligible for either TAS or SWP,35.961012,-79.029733,9th Grade,12th Grade,1,1,1,1,1411,1411,79.0,88.8,80.3
95,North Carolina,East Columbus High,32 GATOR LANE,LAKE WACCAMAW,28450,1,0,0,1,4-Eligible for Title I SWP provides no program,34.335906,-78.501626,9th Grade,12th Grade,1,1,1,1,465,465,38.3,46.6,24.0
96,North Carolina,East Duplin High,394 NORTH NC HIGHWAY 111,BEULAVILLE,28518,1,0,0,1,4-Eligible for Title I SWP provides no program,34.939216,-77.784213,9th Grade,12th Grade,1,1,1,1,995,995,43.2,48.8,36.8
97,North Carolina,East Gaston High,1744 LANE ROAD,MOUNT HOLLY,28120,1,0,0,0,6-Not eligible for either TAS or SWP,35.315441,-81.075626,9th Grade,12th Grade,1,1,1,1,1122,1122,57.7,53.4,50.7
98,North Carolina,East Henderson High,110 OLD UPWARD ROAD,EAST FLAT ROCK,28726,1,0,0,1,4-Eligible for Title I SWP provides no program,35.297618,-82.424020,9th Grade,12th Grade,1,1,1,1,936,936,54.8,62.6,53.6
99,North Carolina,East Lincoln High,6471 HWY 73,DENVER,28037,1,0,0,0,6-Not eligible for either TAS or SWP,35.454121,-81.025771,9th Grade,12th Grade,1,1,1,1,924,924,52.6,66.4,62.1
100,North Carolina,East Mecklenburg High,6800 MONROE RD,CHARLOTTE,28212,1,0,0,1,4-Eligible for Title I SWP provides no program,35.176007,-80.757978,9th Grade,12th Grade,1,1,1,1,1840,1840,57.1,70.1,63.7
101,North Carolina,East Montgomery High,157 EAGLE LANE,BISCOE,27209,1,0,0,1,4-Eligible for Title I SWP provides no program,35.339379,-79.777223,9th Grade,12th Grade,1,1,1,1,632,632,52.5,47.4,64.4
102,North Carolina,East Rowan High,175 ST LUKE'S CHURCH RD,SALISBURY,28146,1,0,0,1,4-Eligible for Title I SWP provides no program,35.593432,-80.423361,9th Grade,12th Grade,1,1,1,1,1055,1055,45.2,51.8,38.6
103,North Carolina,East Rutherford High School,331 EAST HIGH ROAD,BOSTIC,28018,1,0,0,1,4-Eligible for Title I SWP provides no program,35.340594,-81.818253,9th Grade,12th Grade,1,1,1,1,714,714,39.5,41.7,50.3
104,North Carolina,East Wake Academy,400 NMC DRIVE,ZEBULON,27597,1,0,1,1,2-Eligible for Title I TAS provides TAS program,35.831971,-78.306580,Kindergarten,12th Grade,1,1,1,1,1139,314,77.6,90.7,69.7
