School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
SOUTH MEBANE ELEMENTARY,North Carolina,16.46
SOUTH MECKLENBURG HIGH,North Carolina,19.70
SOUTH NEWTON ELEMENTARY,North Carolina,16.70
SOUTH POINT HIGH,North Carolina,17.84
SOUTH PROVIDENCE,North Carolina,3.93
SOUTH ROBESON HIGH,North Carolina,10.80
SOUTH ROWAN HIGH,North Carolina,15.93
SOUTH SCOTLAND ELEMENTARY,North Carolina,15.07
SOUTH SMITHFIELD ELEMENTARY,North Carolina,12.88
SOUTH STANLY HIGH,North Carolina,12.73
SOUTH STANLY MIDDLE,North Carolina,14.49
SOUTH STOKES HIGH,North Carolina,12.23
SOUTH TOE ELEMENTARY,North Carolina,17.35
SOUTH TOPSAIL ELEMENTARY,North Carolina,17.92
SOUTH VIEW HIGH,North Carolina,17.13
SOUTH VIEW MIDDLE,North Carolina,15.48
SOUTH WARREN ELEMENTARY,North Carolina,14.61
SOUTHEAST ELEMENTARY,North Carolina,17.06
SOUTHEAST GUILFORD HIGH,North Carolina,16.83
SOUTHEAST GUILFORD MIDDLE,North Carolina,16.04
SOUTHEAST HALIFAX HIGH,North Carolina,12.92
SOUTHEAST MIDDLE,North Carolina,17.41
SOUTHEAST MIDDLE,North Carolina,17.98
SOUTHEAST RALEIGH HIGH,North Carolina,13.91
SOUTHEASTERN ACADEMY,North Carolina,13.87
SOUTHEASTERN MIDDLE,North Carolina,13.35
SOUTHEASTERN RANDOLPH MIDDLE,North Carolina,15.98
SOUTHERN ELEMENTARY,North Carolina,16.98
SOUTHERN GUILFORD HIGH,North Carolina,16.25
SOUTHERN GUILFORD MIDDLE,North Carolina,15.54
SOUTHERN HIGH,North Carolina,19.31
SOUTHERN LEE HIGH SCHOOL,North Carolina,15.53
SOUTHERN MIDDLE,North Carolina,14.85
SOUTHERN MIDDLE,North Carolina,15.91
SOUTHERN MIDDLE,North Carolina,16.33
SOUTHERN NASH HIGH,North Carolina,18.08
SOUTHERN NASH MIDDLE,North Carolina,18.78
SOUTHERN PINES ELEMENTARY,North Carolina,16.23
SOUTHERN PINES PRIMARY,North Carolina,13.82
SOUTHERN SCHOOL OF ENERGY AND SUSTAINABI,North Carolina,14.32
SOUTHERN SCHOOL OF ENGINEERING,North Carolina,†
SOUTHERN VANCE HIGH,North Carolina,15.44
SOUTHERN WAKE ACADEMY,North Carolina,11.77
SOUTHERN WAYNE HIGH,North Carolina,16.08
SOUTHMONT ELEMENTARY,North Carolina,14.86
SOUTHMONT ELEMENTARY,North Carolina,17.94
SOUTHPORT ELEMENTARY,North Carolina,15.60
SOUTHSIDE HIGH,North Carolina,13.33
SOUTHSIDE/ASHPOLE ELEM,North Carolina,17.31
SOUTHWEST  ELEMENTARY,North Carolina,18.00
SOUTHWEST EDGECOMBE HIGH,North Carolina,16.86
SOUTHWEST ELEMENTARY,North Carolina,14.55
SOUTHWEST ELEMENTARY,North Carolina,13.73
SOUTHWEST ELEMENTARY,North Carolina,14.67
SOUTHWEST ELEMENTARY,North Carolina,14.98
SOUTHWEST ELEMENTARY SCHOOL,North Carolina,14.53
SOUTHWEST GUILFORD HIGH,North Carolina,18.10
SOUTHWEST GUILFORD MIDDLE,North Carolina,18.30
SOUTHWEST HIGH,North Carolina,15.81
SOUTHWEST MIDDLE,North Carolina,15.06
SOUTHWEST MIDDLE,North Carolina,18.08
SOUTHWEST MIDDLE SCHOOL,North Carolina,19.34
SOUTHWESTERN RANDOLPH HIGH,North Carolina,16.98
SOUTHWESTERN RANDOLPH MIDDLE,North Carolina,15.96
SOUTHWOOD ELEMENTARY,North Carolina,15.66
SOUTHWOOD ELEMENTARY,North Carolina,15.03
SPARTA ELEMENTARY,North Carolina,12.29
SPEAS ELEMENTARY,North Carolina,14.12
SPEIGHT MIDDLE,North Carolina,15.45
SPINDALE ELEMENTARY SCHOOL,North Carolina,16.40
SPRING CREEK ELEMENTARY,North Carolina,15.37
SPRING CREEK HIGH,North Carolina,16.74
SPRING CREEK MIDDLE,NORTH CAROLINA,†
SPRING HILL MIDDLE,North Carolina,12.69
SPRING HOPE ELEMENTARY,North Carolina,17.60
SPRING LAKE MIDDLE,North Carolina,13.53
SPRING VALLEY ELEMENTARY,North Carolina,16.16
SPRINGFIELD MIDDLE,North Carolina,18.88
SPRINGFIELD PRIMARY,North Carolina,17.11
SPRINGMORE ELEMENTARY,North Carolina,16.67
SQUIRE ELEMENTARY,North Carolina,12.13
ST JAMES ELEMENTARY,North Carolina,16.09
STALLINGS ELEMENTARY,North Carolina,18.00
STANFIELD ELEMENTARY,North Carolina,14.28
STANLEY MIDDLE,North Carolina,15.96
STANLY ACADEMY LEARNING CENTER,North Carolina,3.00
STANLY EARLY COLLEGE HIGH,North Carolina,26.84
STANTONSBURG ELEMENTARY,North Carolina,15.21
STAR ACADEMY,North Carolina,4.10
STAR ELEMENTARY,North Carolina,19.45
STARMOUNT ACADEMY OF EXCELLENCE,NORTH CAROLINA,†
STARMOUNT HIGH,North Carolina,15.18
STARMOUNT MIDDLE,North Carolina,16.03
STARS CHARTER,North Carolina,14.29
STARTOWN ELEMENTARY,North Carolina,14.94
STATESIDE ELEMENTARY,North Carolina,16.61
STATESVILLE HIGH,North Carolina,15.35
STATESVILLE MIDDLE,North Carolina,13.30
STATESVILLE ROAD ELEMENTARY,North Carolina,14.25
STEDMAN ELEMENTARY,North Carolina,11.95
STEDMAN PRIMARY,North Carolina,13.63
STEELE CREEK ELEMENTARY,North Carolina,17.00
STEM EARLY COLLEGE @ NC A&T SU,North Carolina,18.52
STEM EARLY HIGH,North Carolina,20.38
STEM ED GLOBAL SOCIETY ACADEMY (SEGS),North Carolina,13.25
STERLING ELEMENTARY,North Carolina,17.07
STERLING MONTESSORI ACADEMY,North Carolina,16.77
STERNBERGER ELEMENTARY,North Carolina,14.71
STEWART CREEK HIGH,North Carolina,†
STOCKS ELEMENTARY,North Carolina,15.13
STOKES,North Carolina,12.08
STOKES EARLY COLLEGE,North Carolina,17.18
STOKESDALE ELEMENTARY,North Carolina,18.87
STONER-THOMAS SCHOOL,North Carolina,8.51
STONEVILLE ELEMENTARY,North Carolina,14.00
STONEY CREEK ELEMENTARY,North Carolina,12.93
STONEY CREEK ELEMENTARY,North Carolina,17.02
STONEY POINT ELEMENTARY,North Carolina,16.97
STONY POINT ELEMENTARY,North Carolina,15.06
STORIES CREEK ELEMENTARY,North Carolina,15.65
STOUGH ELEMENTARY,North Carolina,13.03
STOVALL-SHAW ELEMENTARY,North Carolina,15.78
STUART W CRAMER HIGH,North Carolina,17.13
STUDENTFIRST ACADEMY CHARTER,North Carolina,†
SUCCESS INSTITUTE CHARTER,North Carolina,23.28
SUGAR CREEK CHARTER,North Carolina,18.00
SUGAR LOAF ELEMENTARY,North Carolina,15.93
SUGARLOAF ELEMENTARY,North Carolina,14.75
SUMMERFIELD CHARTER ACADEMY,North Carolina,21.44
SUMMERFIELD ELEMENTARY,North Carolina,17.58
SUMMERSILL ELEMENTARY,North Carolina,13.43
SUMMIT CHARTER,North Carolina,12.41
SUMNER ELEMENTARY,North Carolina,15.18
SUN VALLEY ELEMENTARY,North Carolina,15.44
SUN VALLEY HIGH,North Carolina,17.13
SUN VALLEY MIDDLE,North Carolina,19.58
SUNNY VIEW ELEMENTARY SCHOOL,North Carolina,12.16
SUNNYSIDE ELEMENTARY,North Carolina,12.67
SUNSET AVENUE ELEMENTARY,North Carolina,17.25
SUNSET PARK ELEMENTARY,North Carolina,13.19
SUNSHINE ELEMENTARY SCHOOL,North Carolina,13.22
SUPPLY ELEMENTARY,North Carolina,14.75
SURRY CENTRAL HIGH,North Carolina,17.04
SURRY EARLY COLLEGE HS DESIGN,North Carolina,34.86
SWAIN CO EAST ELEMENTARY,North Carolina,17.45
SWAIN CO WEST ELEMENTARY,North Carolina,14.98
SWAIN COUNTY HIGH,North Carolina,13.34
SWAIN COUNTY MIDDLE,North Carolina,14.11
SWANSBORO ELEMENTARY,North Carolina,19.27
SWANSBORO HIGH,North Carolina,16.29
SWANSBORO MIDDLE,North Carolina,16.25
SWIFT CREEK ELEMENTARY,North Carolina,14.77
SWIFT CREEK ELEMENTARY,North Carolina,16.44
SYCAMORE CREEK ELEMENTARY,North Carolina,16.57
SYCAMORE LANE MIDDLE,North Carolina,13.66
SYLVAN ELEMENTARY,North Carolina,14.09
T C HENDERSON ELEMENTARY,North Carolina,13.67
T S COOPER ELEMENTARY,North Carolina,11.92
T WINGATE ANDREWS HIGH,North Carolina,13.63
TABERNACLE ELEMENTARY,North Carolina,15.00
TABLE ROCK MIDDLE,North Carolina,16.40
TABOR CITY ELEMENTARY,North Carolina,15.42
TABOR CITY MIDDLE,North Carolina,14.19
TANGLEWOOD ELEMENTARY,North Carolina,17.46
TAR HEEL MIDDLE,North Carolina,17.92
TAR RIVER ACADEMY,North Carolina,6.39
TAR RIVER ELEMENTARY,North Carolina,16.27
TARBORO HIGH,North Carolina,15.50
TAYLORSVILLE ELEMENTARY,North Carolina,14.36
TERESA C BERRIEN ELEMENTARY,North Carolina,9.13
TERRELL LANE MIDDLE,North Carolina,13.51
TERRY SANFORD HIGH,North Carolina,17.62
THE ACADEMY AT CENTRAL,North Carolina,10.28
THE ACADEMY AT SMITH,North Carolina,14.12
THE ACADEMY OF MOORE COUNTY,North Carolina,14.47
THE ARTS BASED SCHOOL,North Carolina,16.28
THE CAPITOL ENCORE ACADEMY,North Carolina,14.76
THE COMMUNITY LEARNING CENTER @ PINCKNEY,North Carolina,4.84
THE DOWNTOWN SCHOOL,North Carolina,12.30
THE EXPEDITION SCHOOL,North Carolina,15.06
THE FRANKLIN SCHOOL OF INNOVATION,North Carolina,15.18
THE HAWBRIDGE SCHOOL,North Carolina,12.08
THE INSTITUTE DEVELOPMENT YOUNG LEADERS,North Carolina,16.42
THE JP KNAPP ECH (I)SCHOOL,North Carolina,34.40
THE LEARNING CENTER,North Carolina,9.54
THE MOUNTAIN COMMUNITY SCH,North Carolina,15.08
THE NORTH CAROLINA LEADERSHIP ACADEMY,North Carolina,17.45
THE SCHOOL FOR CREATIVE STUDIES,North Carolina,12.90
THE SCORE CENTER,North Carolina,3.44
THE SPECIAL CHILDREN'S SCHOOL,North Carolina,3.93
THIRD CREEK ELEMENTARY,North Carolina,13.85
THOMAS JEFFERSON CLASS ACADEMY,North Carolina,16.22
THOMAS JEFFERSON MIDDLE,North Carolina,17.48
THOMASBORO ACADEMY,North Carolina,14.62
THOMASVILLE HIGH,North Carolina,14.81
THOMASVILLE MIDDLE,North Carolina,17.63
THOMASVILLE PRIMARY,North Carolina,15.56
THUNDERBIRD PREPARATORY,North Carolina,12.59
TILLER SCHOOL,North Carolina,12.03
TIMBER DRIVE ELEMENTARY,North Carolina,14.44
TOISNOT MIDDLE,North Carolina,16.50
TOMMY'S ROAD ELEMENTARY,North Carolina,16.63
TOPSAIL ELEMENTARY,North Carolina,17.34
TOPSAIL HIGH,North Carolina,18.91
TOPSAIL MIDDLE,North Carolina,18.18
TORCHLIGHT ACADEMY,North Carolina,29.51
TORRENCE CREEK ELEMENTARY,North Carolina,17.25
TOWN CREEK ELEMENTARY,North Carolina,15.41
TOWNSEND MIDDLE,North Carolina,14.02
TOWNSHIP THREE ELEMENTARY,North Carolina,15.51
TRAMWAY ELEMENTARY,North Carolina,18.85
TRAPHILL ELEMENTARY,North Carolina,14.53
TRENT PARK ELEMENTARY,North Carolina,14.07
TRENTON ELEMENTARY,North Carolina,14.53
TREXLER MIDDLE,North Carolina,17.85
TRI-COUNTY EARLY COLLEGE HIGH,North Carolina,18.86
TRIAD MATH AND SCIENCE ACADEMY,North Carolina,15.40
TRIANGLE LAKE MONTESSORI ELEM,North Carolina,15.74
TRIANGLE MATH AND SCIENCE ACADEMY,North Carolina,15.38
TRINDALE ELEMENTARY,North Carolina,14.13
TRINITY ELEMENTARY,North Carolina,15.61
TRINITY HIGH,North Carolina,17.63
TRITON HIGH,North Carolina,16.67
TROUTMAN ELEMENTARY,North Carolina,16.81
TROUTMAN MIDDLE,North Carolina,17.38
TROY ELEMENTARY,North Carolina,14.83
TRYON ELEMENTARY,North Carolina,15.08
TRYON ELEMENTARY SCHOOL,North Carolina,13.23
TUCKASEEGEE ELEMENTARY,North Carolina,16.27
TUCKER CREEK MIDDLE,North Carolina,12.45
TURNER CREEK ELEMENTARY,North Carolina,14.41
TURNING POINT ACADEMY,North Carolina,4.85
TURNING POINT ACADEMY,North Carolina,7.52
TURRENTINE MIDDLE,North Carolina,15.50
TUSCOLA HIGH,North Carolina,14.94
TWO RIVERS COMMUNITY SCHOOL,North Carolina,10.94
TYRO ELEMENTARY,North Carolina,15.60
TYRO MIDDLE,North Carolina,16.44
TYRRELL ELEMENTARY,North Carolina,13.86
UNC HOSPITAL SCHOOL,North Carolina,="0.07"
UNCC-EPIC,North Carolina,18.18
UNCG EARLY/MIDDLE COLLEGE,North Carolina,16.92
UNDERWOOD ELEMENTARY,North Carolina,14.05
UNION ACADEMY,North Carolina,11.73
UNION ACADEMY,North Carolina,17.07
UNION CHAPEL ELEMENTARY,North Carolina,20.88
UNION COUNTY EARLY COLLEGE,North Carolina,24.77
UNION CROSS TRADITIONAL ACAD,North Carolina,15.18
UNION ELEMENTARY,North Carolina,17.45
UNION ELEMENTARY,North Carolina,14.40
UNION ELEMENTARY,North Carolina,17.95
UNION ELEMENTARY,North Carolina,13.29
UNION ELEMENTARY,North Carolina,15.33
UNION ELEMENTARY,North Carolina,11.78
UNION GROVE ELEMENTARY,North Carolina,14.65
UNION HIGH,North Carolina,14.73
UNION HILL ELEMENTARY,North Carolina,14.71
UNION INTERMEDIATE,North Carolina,15.12
UNION MIDDLE,North Carolina,15.38
UNION PINES HIGH,North Carolina,19.13
UNIONVILLE ELEMENTARY,North Carolina,16.62
UNITED COMMUNITY SCHOOL,North Carolina,13.40
UNIVERSITY MEADOWS ELEMENTARY,North Carolina,14.58
UNIVERSITY PARK CREATIVE ARTS,North Carolina,14.23
UPCHURCH ELEMENTARY,North Carolina,14.17
UPWARD ELEMENTARY,North Carolina,14.02
UWHARRIE CHARTER ACADEMY,North Carolina,15.81
UWHARRIE MIDDLE,North Carolina,16.74
VALDESE ELEMENTARY,North Carolina,16.72
VALLE CRUCIS ELEMENTARY,North Carolina,12.68
VALLEY SPRINGS MIDDLE,North Carolina,13.82
VALMEAD ELEMENTARY,North Carolina,11.17
VANCE CHARTER SCHOOL,North Carolina,13.13
VANCE CO EARLY COLLEGE,North Carolina,25.44
VANCE ELEMENTARY,North Carolina,13.76
VANCE ELEMENTARY,North Carolina,14.64
VANCE HIGH,North Carolina,18.81
VANCEBORO-FARM LIFE ELEMENTARY,North Carolina,16.01
VANDALIA ELEMENTARY,North Carolina,13.10
VANDORA SPRINGS ELEMENTARY,North Carolina,13.30
VANSTORY HILLS ELEMENTARY,North Carolina,14.20
VASS-LAKEVIEW ELEMENTARY,North Carolina,15.23
VAUGHAN ELEMENTARY,North Carolina,16.58
VERITAS COMMUNITY SCHOOL,NORTH CAROLINA,†
VERNON MALONE COLLEGE AND CAREER ACADEMY,North Carolina,12.38
VICK ELEMENTARY,North Carolina,16.60
VIENNA ELEMENTARY,North Carolina,18.48
VIEWMONT ELEMENTARY,North Carolina,17.33
VINSON-BYNUM ELEMENTARY,North Carolina,14.41
VIRGINIA CROSS ELEMENTARY,North Carolina,12.23
VIRGINIA WILLIAMSON ELEM,North Carolina,15.61
VISUAL AND PERFORMING ARTS CENTER,North Carolina,25.58
VOYAGER ACADEMY,North Carolina,13.73
W A BESS ELEMENTARY SCHOOL,North Carolina,16.85
W A PATTILLO MIDDLE,NORTH CAROLINA,13.58
W A PATTILLO SCHOOL,North Carolina,†
W A YOUNG ELEMENTARY,North Carolina,14.07
W B BEAM INTERMEDIATE SCHOOL,North Carolina,21.16
W C FRIDAY MIDDLE SCHOOL,North Carolina,17.84
W G PEARSON ELEMENTARY,North Carolina,14.82
W H KNUCKLES,North Carolina,17.08
W H ROBINSON ELEMENTARY,North Carolina,15.10
W JESSE GURGANUS ELEMENTARY,North Carolina,17.47
W M IRVIN ELEMENTARY,North Carolina,15.33
W M JENKINS ELEMENTARY,North Carolina,15.72
W P GRIER MIDDLE SCHOOL,North Carolina,17.64
W R ODELL ELEMENTARY,North Carolina,16.79
W T GRIGGS ELEMENTARY,North Carolina,12.88
WACCAMAW,North Carolina,14.77
WADDELL LANGUAGE ACADEMY,North Carolina,17.35
WADESBORO ELEMENTARY,North Carolina,13.02
WADESBORO PRIMARY,North Carolina,17.40
WAGRAM ELEMENTARY,North Carolina,14.84
WAHL COATES ELEMENTARY,North Carolina,12.11
WAKE EARLY COLLEGE OF HEALTH AND SCIENCE,North Carolina,22.89
WAKE FOREST CHARTER ACADEMY,North Carolina,21.08
WAKE FOREST ELEMENTARY,North Carolina,15.15
WAKE FOREST HIGH SCHOOL,North Carolina,18.34
WAKE FOREST MIDDLE SCHOOL,North Carolina,16.88
WAKE NCSU STEM ECHS,North Carolina,16.00
WAKE YOUNG MEN'S LEADERSHIP ACADEMY,North Carolina,12.34
WAKE YOUNG WOMEN'S LEADERSHIP ACADEMY,North Carolina,12.60
WAKEFIELD ELEMENTARY,North Carolina,14.24
WAKEFIELD HIGH,North Carolina,18.08
WAKEFIELD MIDDLE,North Carolina,18.08
WAKELON ELEMENTARY,North Carolina,13.25
WALDO C FALKENER SR ELEMENTARY,North Carolina,13.23
WALKER SPIVEY ELEMENTARY,North Carolina,13.14
WALKERTOWN ELEMENTARY,North Carolina,17.70
WALKERTOWN HIGH,North Carolina,17.09
WALKERTOWN MIDDLE,North Carolina,15.49
WALLACE ELEMENTARY,North Carolina,16.10
WALLACE-ROSE HILL HIGH,North Carolina,17.17
WALLBURG ELEMENTARY,North Carolina,18.89
WALNUT COVE ELEMENTARY,North Carolina,13.32
WALNUT CREEK ES,North Carolina,16.53
WALTER BICKETT ELEMENTARY,North Carolina,10.84
WALTER G BYERS SCHOOL,North Carolina,12.02
WALTER L PARSLEY ELEMENTARY,North Carolina,17.76
WALTER M WILLIAMS HIGH,North Carolina,18.44
WALTER R JOHNSON MIDDLE,North Carolina,15.02
WARD ELEMENTARY,North Carolina,14.36
WARLICK ACADEMY,North Carolina,5.11
WARREN COUNTY HIGH,North Carolina,13.62
WARREN COUNTY MIDDLE,North Carolina,15.57
WARREN EARLY COLLEGE HIGH,North Carolina,18.59
WARREN NEW TECH HIGH,North Carolina,14.85
WARREN WILLIAMS ELEMENTARY ALTERNATIVE,North Carolina,13.81
WARRENWOOD ELEMENTARY,North Carolina,12.18
WARSAW ELEMENTARY,North Carolina,15.24
WARSAW MIDDLE,North Carolina,10.72
WASHINGTON COUNTY UNION,North Carolina,14.26
WASHINGTON ELEMENTARY,North Carolina,14.85
WASHINGTON ELEMENTARY,North Carolina,13.77
WASHINGTON ELEMENTARY,North Carolina,12.37
WASHINGTON HIGH,North Carolina,16.06
WASHINGTON MONTESSORI,North Carolina,17.26
WASHINGTON PARK ELEMENTARY,North Carolina,14.18
WASHINGTON STREET ELEMENTARY,North Carolina,15.79
WATAUGA HIGH,North Carolina,13.41
WATAUGA INNOVATION ACADEMY,NORTH CAROLINA,†
WATER'S EDGE VILLAGE SCHOOL,North Carolina,9.50
WAXHAW ELEMENTARY,North Carolina,17.05
WAYNE AVENUE ELEM,North Carolina,15.14
WAYNE EARLY / MIDDLE COLLEGE HIGH,North Carolina,21.33
WAYNE MIDDLE / HIGH ACADEMY,North Carolina,4.70
WAYNE PREPARATORY,North Carolina,13.29
WAYNE SCHOOL OF ENGINEERING,North Carolina,18.34
WAYNESVILLE MIDDLE,North Carolina,15.02
WEATHERSTONE ELEMENTARY,North Carolina,16.61
WEAVERVILLE ELEMENTARY,North Carolina,16.36
WEAVERVILLE PRIMARY,North Carolina,14.99
WEBB A MURRAY ELEMENTARY,North Carolina,13.73
WEBB STREET SCHOOL,North Carolina,6.18
WEDDINGTON ELEMENTARY,North Carolina,17.87
WEDDINGTON HIGH,North Carolina,19.38
WEDDINGTON HILLS ELEMENTARY,North Carolina,15.87
WEDDINGTON MIDDLE,North Carolina,17.85
WEEKSVILLE ELEMENTARY,North Carolina,15.69
WELBORN MIDDLE,North Carolina,13.02
WELCOME ELEMENTARY,North Carolina,17.66
WELDON ELEMENTARY,North Carolina,13.84
WELDON HIGH,North Carolina,7.54
WELDON MIDDLE,North Carolina,13.12
WELLCOME MIDDLE,North Carolina,16.35
WELLS ELEMENTARY,North Carolina,15.91
WENDELL ELEMENTARY,North Carolina,13.50
WENDELL MIDDLE,North Carolina,16.35
WENTWORTH ELEMENTARY,North Carolina,16.97
WESLEY CHAPEL ELEMENTARY,North Carolina,18.33
WEST ALEXANDER MIDDLE,North Carolina,16.03
WEST BERTIE ELEMENTARY,North Carolina,14.95
WEST BLADEN HIGH,North Carolina,16.98
WEST BRUNSWICK HIGH,North Carolina,15.50
WEST BUNCOMBE ELEMENTARY,North Carolina,14.34
WEST CALDWELL HIGH,North Carolina,13.99
WEST CARTERET HIGH,North Carolina,15.28
WEST CARY MIDDLE,North Carolina,18.01
WEST CHARLOTTE HIGH,North Carolina,16.20
WEST CLAYTON ELEMENTARY,North Carolina,15.42
WEST COLUMBUS HIGH,North Carolina,12.74
WEST CRAVEN HIGH,North Carolina,14.69
WEST CRAVEN MIDDLE,North Carolina,15.35
WEST DAVIDSON HIGH,North Carolina,17.02
WEST EDGECOMBE MIDDLE,North Carolina,19.09
WEST ELEMENTARY,North Carolina,15.58
WEST END ELEMENTARY,North Carolina,14.51
WEST FORSYTH HIGH,North Carolina,19.89
WEST GREENE ELEMENTARY,North Carolina,14.29
WEST HENDERSON HIGH,North Carolina,16.26
WEST HOKE ELEMENTARY,North Carolina,14.88
WEST HOKE MIDDLE,North Carolina,14.78
WEST IREDELL HIGH,North Carolina,16.13
WEST IREDELL MIDDLE,North Carolina,16.85
WEST JOHNSTON HIGH,North Carolina,16.22
WEST LAKE ELEMENTARY,North Carolina,15.40
WEST LAKE MIDDLE,North Carolina,17.44
WEST LEE MIDDLE,North Carolina,16.95
WEST LENOIR ELEMENTARY,North Carolina,13.77
WEST LINCOLN HIGH,North Carolina,16.70
WEST LINCOLN MIDDLE,North Carolina,15.46
WEST LUMBERTON ELEMENTARY,North Carolina,3.77
WEST MARION ELEMENTARY,North Carolina,13.42
WEST MCDOWELL JUNIOR HIGH,North Carolina,17.35
WEST MECKLENBURG HIGH,North Carolina,18.79
WEST MIDDLE,North Carolina,15.23
WEST MILLBROOK MIDDLE,North Carolina,17.24
WEST MONTGOMERY HIGH,North Carolina,15.26
WEST OXFORD ELEMENTARY,North Carolina,16.22
WEST PENDER MIDDLE,North Carolina,13.77
WEST PINE ELEMENTARY,North Carolina,15.20
WEST PINE MIDDLE,North Carolina,17.63
WEST ROCKINGHAM ELEMENTARY,North Carolina,17.09
WEST ROWAN HIGH,North Carolina,16.62
WEST ROWAN MIDDLE,North Carolina,17.60
WEST SMITHFIELD ELEMENTARY,North Carolina,11.80
WEST STANLY HIGH,North Carolina,14.94
WEST STANLY MIDDLE SCHOOL,North Carolina,14.82
WEST STOKES HIGH,North Carolina,15.44
WEST VIEW ELEMENTARY,North Carolina,16.35
WEST WILKES HIGH,North Carolina,15.57
WEST WILKES MIDDLE,North Carolina,17.69
WEST YADKIN ELEMENTARY,North Carolina,14.00
WESTAREA ELEMENTARY,North Carolina,14.31
WESTERLY HILLS ACADEMY,North Carolina,14.31
WESTERN ALAMANCE HIGH,North Carolina,18.65
WESTERN GUILFORD HIGH,North Carolina,18.77
WESTERN HARNETT HIGH,North Carolina,17.72
WESTERN HARNETT MIDDLE,North Carolina,17.02
WESTERN MIDDLE,North Carolina,16.90
WESTERN ROCKINGHAM MIDDLE,North Carolina,15.70
WESTERN UNION ELEMENTARY,North Carolina,13.75
WESTERN VANCE HIGH,North Carolina,3.56
WESTFIELD ELEMENTARY,North Carolina,13.20
WESTMOORE ELEMENTARY,North Carolina,13.48
WESTOVER HIGH,North Carolina,15.03
WESTOVER MIDDLE,North Carolina,13.82
WESTWOOD ELEMENTARY,North Carolina,13.61
WG PEARSON MAGNET MIDDLE,North Carolina,†
WHEATMORE HIGH,North Carolina,16.96
WHITAKER ELEMENTARY,North Carolina,17.65
WHITE OAK ELEMENTARY,North Carolina,16.75
WHITE OAK ELEMENTARY,North Carolina,15.52
WHITE OAK HIGH,North Carolina,17.84
WHITE PLAINS ELEMENTARY,North Carolina,14.52
WHITEVILLE HIGH,North Carolina,14.38
WHITEVILLE PRIMARY,North Carolina,13.71
WHITEWATER ACADEMY,North Carolina,16.69
WHITEWATER MIDDLE,North Carolina,17.38
WHITNEL ELEMENTARY,North Carolina,11.91
WILBURN ELEMENTARY,North Carolina,13.68
WILDWOOD FOREST ELEMENTARY,North Carolina,14.64
WILEY ACCEL/ENRICHMENT,North Carolina,14.08
WILEY ELEMENTARY,North Carolina,12.90
WILEY MIDDLE,North Carolina,14.28
WILKES CENTRAL HIGH,North Carolina,15.66
WILKES EARLY COLLEGE HIGH,North Carolina,27.00
WILKESBORO ELEMENTARY,North Carolina,16.28
WILLIAM AMOS HOUGH HIGH,North Carolina,20.43
WILLIAM ELLIS MIDDLE,North Carolina,13.29
WILLIAM G ENLOE HIGH,North Carolina,17.01
WILLIAM H OWEN ELEMENTARY,North Carolina,11.41
WILLIAM L MANNING ELEMENTARY,North Carolina,15.54
WILLIAM LENOIR MIDDLE,North Carolina,15.36
WILLIAM R DAVIE ELEMENTARY,North Carolina,13.13
WILLIAM R DAVIE MIDDLE,North Carolina,13.45
WILLIAM T BROWN ELEMENTARY,North Carolina,14.23
WILLIAMS ELEMENTARY,North Carolina,15.20
WILLIAMS TOWNSHIP,North Carolina,18.03
WILLIAMSBURG ELEMENTARY,North Carolina,15.11
WILLIAMSTON PRIMARY,North Carolina,16.20
WILLIFORD ELEMENTARY,North Carolina,18.21
WILLIS HARE ELEMENTARY,North Carolina,15.91
WILLISTON MIDDLE,North Carolina,12.48
WILLOW OAK MONTESSORI,North Carolina,9.49
WILLOW SPRINGS ELEMENTARY,North Carolina,16.67
WILMINGTON EARLY COLLEGE HIGH,North Carolina,20.88
WILMINGTON PREPARATORY ACADEMY,North Carolina,12.47
WILSON EARLY COLLEGE ACADEMY,North Carolina,28.02
WILSON PREPARATORY ACADEMY,North Carolina,17.10
WILSON'S MILLS ELEMENTARY,North Carolina,13.74
WILTON ELEMENTARY,North Carolina,17.01
WINDING SPRINGS ELEMENTARY,North Carolina,14.26
WINDSOR ELEMENTARY,North Carolina,14.59
WINDSOR PARK ELEMENTARY,North Carolina,14.64
WINECOFF ELEMENTARY,North Carolina,15.52
WINGATE ELEMENTARY,North Carolina,10.08
WINGET PARK ELEMENTARY,North Carolina,15.71
WINGET PARK RELIEF ELEMENTARY,North Carolina,19.03
WINSTEAD AVENUE ELEMENTARY,North Carolina,17.72
WINSTEAD ELEMENTARY,North Carolina,15.18
WINSTON-SALEM PREPARATORY ACAD,North Carolina,12.45
WINTER PARK MODEL ELEMENTARY,North Carolina,13.37
WINTERFIELD ELEMENTARY,North Carolina,15.86
WINTERGREEN INTERMEDIATE,North Carolina,15.80
WINTERGREEN PRIMARY,North Carolina,16.37
WINTERVILLE CHARTER ACADEMY,NORTH CAROLINA,†
WITTENBURG ELEMENTARY,North Carolina,17.84
WOLF MEADOW ELEMENTARY,North Carolina,13.93
WOLFE SCHOOL,North Carolina,4.86
WOODFIN ELEMENTARY,North Carolina,9.86
WOODHILL ELEMENTARY,North Carolina,16.32
WOODINGTON MIDDLE,North Carolina,17.51
WOODLAND ELEMENTARY,North Carolina,13.16
WOODLAND HEIGHTS ELEMENTARY,North Carolina,17.95
